Run	geo_loc_name_country_continent	File_old	File
Varroa orthomyxovirus-1	unknown	NA	NA
Varroa orthomyxovirus-1	unknown	NA	NA
Varroa orthomyxovirus-1	unknown	NA	NA
Varroa orthomyxovirus-1	unknown	NA	NA
Varroa orthomyxovirus-1	unknown	NA	NA
Xiangshan orthomyxo-like virus	unknown	NA	NA
Orthomyxoviridae sp.	unknown	NA	NA
Orthomyxoviridae sp.	unknown	NA	NA
Granville quaranjavirus	unknown	NA	NA
Bemisia tabaci Quaranja-like virus 3	unknown	NA	NA
Bemisia tabaci Quaranja-like virus 2	unknown	NA	NA
Bemisia tabaci Quaranja-like virus 1	unknown	NA	NA
Orthomyxoviridae sp.	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 5	unknown	NA	NA
Guadeloupe mosquito quaranja-like virus 1	unknown	NA	NA
Guadeloupe mosquito quaranja-like virus 1	unknown	NA	NA
Guadeloupe mosquito quaranja-like virus 1	unknown	NA	NA
Guadeloupe mosquito quaranja-like virus 1	unknown	NA	NA
Guadeloupe mosquito quaranja-like virus 1	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Bombus-associated virus Orth1	unknown	NA	NA
Aedes orthomyxo-like virus 2	unknown	NA	NA
Ohshima virus	unknown	NA	NA
Ohshima virus	unknown	NA	NA
Ohshima virus	unknown	NA	NA
Quaranfil quaranjavirus	unknown	NA	NA
Sinu virus	unknown	NA	NA
Jingshan Fly Virus 1	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Bourbon virus	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Salmon isavirus	unknown	NA	NA
Wuhan Mosquito virus 6	unknown	NA	NA
Wuhan Mosquito virus 6	unknown	NA	NA
Culex pipiens orthomyxo-like virus	unknown	NA	NA
Aedes alboannulatus orthomyxo-like virus	unknown	NA	NA
PB1 [Wuhan Mosquito Virus 6]	unknown	NA	NA
Thogoto Thogotovirus	unknown	NA	NA
Thailand tick thogotovirus	unknown	NA	NA
Thailand tick thogotovirus	unknown	NA	NA
Sinu virus	unknown	NA	NA
Batken virus	unknown	NA	NA
Jos virus	unknown	NA	NA
Oz virus	unknown	NA	NA
Upolu virus	unknown	NA	NA
Wellfleet Bay virus	unknown	NA	NA
Quaranjavirus johnstonense	unknown	NA	NA
Quaranjavirus quaranfilense	unknown	NA	NA
Quaranjavirus quaranfilense	unknown	NA	NA
Tjuloc virus	unknown	NA	NA
Lake Chad virus	unknown	NA	NA
Aedes detritus orthomyxo-like virus	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Pilchard orthomyxovirus	unknown	NA	NA
Wuhan Mosquito Virus 7	unknown	NA	NA
Wuhan Mosquito Virus 6	unknown	NA	NA
Culex modestus orthomyxo-like virus	unknown	NA	NA
Red mite quaranjavirus	unknown	NA	NA
Influenza C virus (C/Ann Arbor/1/50)	unknown	NA	NA
Isavirus salaris	unknown	NA	NA
Influenza A virus (A/California/07/2009(H1N1))	unknown	NA	NA
Influenza D virus (D/swine/Oklahoma/1334/2011)	unknown	NA	NA
Quaranjavirus quaranfilense	unknown	NA	NA
Araguari virus	unknown	NA	NA
Byreldi virus	unknown	NA	NA
Byreska virus	unknown	NA	NA
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
