Sample	Percentage	ID_NEW	Sample	Tribe	Segment
SRR13478585	NA	SRR13478585.2_NP	SRR13478585.2	Culicinae	NP
SRR13478585	NA	SRR13478585.2_HP3	SRR13478585.2	Culicinae	HP3
SRR13478585	NA	SRR13478585.2_HP2	SRR13478585.2	Culicinae	HP2
SRR13478585	15.62	SRR13478585.2_HP1	SRR13478585.2	Culicinae	HP1
SRR13478585	NA	SRR13478585.2_GP	SRR13478585.2	Culicinae	GP
SRR13478585	5	SRR13478585.1_PB2	SRR13478585.1	Culicinae	PB2
SRR13478585	14.55	SRR13478585.1_PB1	SRR13478585.1	Culicinae	PB1
SRR13478585	18.33	SRR13478585.1_PA	SRR13478585.1	Culicinae	PA
SRR13478585	34.4	SRR13478585.1_NP	SRR13478585.1	Culicinae	NP
SRR13478585	30.92	SRR13478585.1_HP3	SRR13478585.1	Culicinae	HP3
SRR13478585	NA	SRR13478585.1_HP2	SRR13478585.1	Culicinae	HP2
SRR13478585	15.83	SRR13478585.1_HP1	SRR13478585.1	Culicinae	HP1
SRR13478585	NA	SRR13478585.1_GP	SRR13478585.1	Culicinae	GP
SRR13478587	NA	SRR13478587.1_PB2	SRR13478587.1	Culicinae	PB2
SRR13478587	NA	SRR13478587.1_PB1	SRR13478587.1	Culicinae	PB1
SRR13478587	NA	SRR13478587.1_PA	SRR13478587.1	Culicinae	PA
SRR13478587	6.9	SRR13478587.1_NP	SRR13478587.1	Culicinae	NP
SRR13478587	NA	SRR13478587.1_HP3	SRR13478587.1	Culicinae	HP3
SRR13478587	NA	SRR13478587.1_HP2	SRR13478587.1	Culicinae	HP2
SRR13478587	NA	SRR13478587.1_HP1	SRR13478587.1	Culicinae	HP1
SRR13478587	NA	SRR13478587.1_GP	SRR13478587.1	Culicinae	GP
SRR6489870	NA	SRR6489870.3_PB2	SRR6489870.3	Aedini	PB2
SRR6489870	NA	SRR6489870.3_PB1	SRR6489870.3	Aedini	PB1
SRR6489870	NA	SRR6489870.3_PA	SRR6489870.3	Aedini	PA
SRR6489870	28.26	SRR6489870.3_NP	SRR6489870.3	Aedini	NP
SRR6489870	NA	SRR6489870.3_HP3	SRR6489870.3	Aedini	HP3
SRR6489870	NA	SRR6489870.3_HP2	SRR6489870.3	Aedini	HP2
SRR6489870	NA	SRR6489870.3_HP1	SRR6489870.3	Aedini	HP1
SRR6489870	NA	SRR6489870.3_GP	SRR6489870.3	Aedini	GP
SRR6489870	NA	SRR6489870.2_PB2	SRR6489870.2	Aedini	PB2
SRR6489870	NA	SRR6489870.2_PB1	SRR6489870.2	Aedini	PB1
SRR6489870	NA	SRR6489870.2_PA	SRR6489870.2	Aedini	PA
SRR6489870	36.86	SRR6489870.2_NP	SRR6489870.2	Aedini	NP
SRR6489870	NA	SRR6489870.2_HP3	SRR6489870.2	Aedini	HP3
SRR6489870	NA	SRR6489870.2_HP2	SRR6489870.2	Aedini	HP2
SRR6489870	NA	SRR6489870.2_HP1	SRR6489870.2	Aedini	HP1
SRR6489870	NA	SRR6489870.2_GP	SRR6489870.2	Aedini	GP
SRR6489870	100	SRR6489870.1_PB2	SRR6489870.1	Aedini	PB2
SRR6489870	100	SRR6489870.1_PB1	SRR6489870.1	Aedini	PB1
SRR6489870	NA	SRR6489870.1_PA	SRR6489870.1	Aedini	PA
SRR6489870	100	SRR6489870.1_NP	SRR6489870.1	Aedini	NP
SRR6489870	100	SRR6489870.1_HP3	SRR6489870.1	Aedini	HP3
SRR6489870	100	SRR6489870.1_HP2	SRR6489870.1	Aedini	HP2
SRR6489870	100	SRR6489870.1_HP1	SRR6489870.1	Aedini	HP1
SRR6489870	96.7	SRR6489870.1_GP	SRR6489870.1	Aedini	GP
SRR6489876	99.73	SRR6489876.2_PB2	SRR6489876.2	Aedini	PB2
SRR6489876	97.72	SRR6489876.2_PB1	SRR6489876.2	Aedini	PB1
SRR6489876	NA	SRR6489876.2_PA	SRR6489876.2	Aedini	PA
SRR6489876	88.61	SRR6489876.2_NP	SRR6489876.2	Aedini	NP
SRR6489876	53.49	SRR6489876.2_HP3	SRR6489876.2	Aedini	HP3
SRR6489876	82.45	SRR6489876.2_HP2	SRR6489876.2	Aedini	HP2
SRR6489876	22.17	SRR6489876.2_HP1	SRR6489876.2	Aedini	HP1
SRR6489876	99.12	SRR6489876.2_GP	SRR6489876.2	Aedini	GP
SRR6489876	100.13	SRR6489876.1_PB2	SRR6489876.1	Aedini	PB2
SRR6489876	100	SRR6489876.1_PB1	SRR6489876.1	Aedini	PB1
SRR6489876	98.61	SRR6489876.1_PA	SRR6489876.1	Aedini	PA
SRR6489876	100	SRR6489876.1_NP	SRR6489876.1	Aedini	NP
SRR6489876	100	SRR6489876.1_HP3	SRR6489876.1	Aedini	HP3
SRR6489876	82.45	SRR6489876.1_HP2	SRR6489876.1	Aedini	HP2
SRR6489876	99.57	SRR6489876.1_HP1	SRR6489876.1	Aedini	HP1
SRR6489876	99.79	SRR6489876.1_GP	SRR6489876.1	Aedini	GP
SRR6489877	NA	SRR6489877.3_PB2	SRR6489877.3	Aedini	PB2
SRR6489877	NA	SRR6489877.3_PB1	SRR6489877.3	Aedini	PB1
SRR6489877	NA	SRR6489877.3_PA	SRR6489877.3	Aedini	PA
SRR6489877	32.63	SRR6489877.3_NP	SRR6489877.3	Aedini	NP
SRR6489877	NA	SRR6489877.3_HP3	SRR6489877.3	Aedini	HP3
SRR6489877	NA	SRR6489877.3_HP2	SRR6489877.3	Aedini	HP2
SRR6489877	NA	SRR6489877.3_HP1	SRR6489877.3	Aedini	HP1
SRR6489877	NA	SRR6489877.3_GP	SRR6489877.3	Aedini	GP
SRR6489877	NA	SRR6489877.2_PB2	SRR6489877.2	Aedini	PB2
SRR6489877	NA	SRR6489877.2_PB1	SRR6489877.2	Aedini	PB1
SRR6489877	NA	SRR6489877.2_PA	SRR6489877.2	Aedini	PA
SRR6489877	56.03	SRR6489877.2_NP	SRR6489877.2	Aedini	NP
SRR6489877	NA	SRR6489877.2_HP3	SRR6489877.2	Aedini	HP3
SRR6489877	NA	SRR6489877.2_HP2	SRR6489877.2	Aedini	HP2
SRR6489877	NA	SRR6489877.2_HP1	SRR6489877.2	Aedini	HP1
SRR6489877	NA	SRR6489877.2_GP	SRR6489877.2	Aedini	GP
SRR6489877	99.78	SRR6489877.1_PB2	SRR6489877.1	Aedini	PB2
SRR6489877	99.34	SRR6489877.1_PB1	SRR6489877.1	Aedini	PB1
SRR6489877	NA	SRR6489877.1_PA	SRR6489877.1	Aedini	PA
SRR6489877	99.81	SRR6489877.1_NP	SRR6489877.1	Aedini	NP
SRR6489877	99.15	SRR6489877.1_HP3	SRR6489877.1	Aedini	HP3
SRR6489877	82.45	SRR6489877.1_HP2	SRR6489877.1	Aedini	HP2
SRR6489877	99.57	SRR6489877.1_HP1	SRR6489877.1	Aedini	HP1
SRR6489877	99.12	SRR6489877.1_GP	SRR6489877.1	Aedini	GP
SRR6489878	NA	SRR6489878.3_PB2	SRR6489878.3	Aedini	PB2
SRR6489878	NA	SRR6489878.3_PB1	SRR6489878.3	Aedini	PB1
SRR6489878	NA	SRR6489878.3_PA	SRR6489878.3	Aedini	PA
SRR6489878	23.66	SRR6489878.3_NP	SRR6489878.3	Aedini	NP
SRR6489878	NA	SRR6489878.3_HP3	SRR6489878.3	Aedini	HP3
SRR6489878	NA	SRR6489878.3_HP2	SRR6489878.3	Aedini	HP2
SRR6489878	NA	SRR6489878.3_HP1	SRR6489878.3	Aedini	HP1
SRR6489878	NA	SRR6489878.3_GP	SRR6489878.3	Aedini	GP
SRR6489878	NA	SRR6489878.2_PB2	SRR6489878.2	Aedini	PB2
SRR6489878	NA	SRR6489878.2_PB1	SRR6489878.2	Aedini	PB1
SRR6489878	NA	SRR6489878.2_PA	SRR6489878.2	Aedini	PA
SRR6489878	32.45	SRR6489878.2_NP	SRR6489878.2	Aedini	NP
SRR6489878	NA	SRR6489878.2_HP3	SRR6489878.2	Aedini	HP3
SRR6489878	NA	SRR6489878.2_HP2	SRR6489878.2	Aedini	HP2
SRR6489878	NA	SRR6489878.2_HP1	SRR6489878.2	Aedini	HP1
SRR6489878	NA	SRR6489878.2_GP	SRR6489878.2	Aedini	GP
SRR6489878	75.91	SRR6489878.1_PB2	SRR6489878.1	Aedini	PB2
SRR6489878	72.01	SRR6489878.1_PB1	SRR6489878.1	Aedini	PB1
SRR6489878	29.42	SRR6489878.1_PA	SRR6489878.1	Aedini	PA
SRR6489878	99.81	SRR6489878.1_NP	SRR6489878.1	Aedini	NP
SRR6489878	90.6	SRR6489878.1_HP3	SRR6489878.1	Aedini	HP3
SRR6489878	82.45	SRR6489878.1_HP2	SRR6489878.1	Aedini	HP2
SRR6489878	99.57	SRR6489878.1_HP1	SRR6489878.1	Aedini	HP1
SRR6489878	94.07	SRR6489878.1_GP	SRR6489878.1	Aedini	GP
SRR6489879	NA	SRR6489879.3_PB2	SRR6489879.3	Aedini	PB2
SRR6489879	NA	SRR6489879.3_PB1	SRR6489879.3	Aedini	PB1
SRR6489879	NA	SRR6489879.3_PA	SRR6489879.3	Aedini	PA
SRR6489879	32.45	SRR6489879.3_NP	SRR6489879.3	Aedini	NP
SRR6489879	NA	SRR6489879.3_HP3	SRR6489879.3	Aedini	HP3
SRR6489879	NA	SRR6489879.3_HP2	SRR6489879.3	Aedini	HP2
SRR6489879	NA	SRR6489879.3_HP1	SRR6489879.3	Aedini	HP1
SRR6489879	NA	SRR6489879.3_GP	SRR6489879.3	Aedini	GP
SRR6489879	NA	SRR6489879.2_PB2	SRR6489879.2	Aedini	PB2
SRR6489879	NA	SRR6489879.2_PB1	SRR6489879.2	Aedini	PB1
SRR6489879	NA	SRR6489879.2_PA	SRR6489879.2	Aedini	PA
SRR6489879	38.8	SRR6489879.2_NP	SRR6489879.2	Aedini	NP
SRR6489879	90.6	SRR6489879.2_HP3	SRR6489879.2	Aedini	HP3
SRR6489879	NA	SRR6489879.2_HP2	SRR6489879.2	Aedini	HP2
SRR6489879	NA	SRR6489879.2_HP1	SRR6489879.2	Aedini	HP1
SRR6489879	NA	SRR6489879.2_GP	SRR6489879.2	Aedini	GP
SRR6489879	99.64	SRR6489879.1_PB2	SRR6489879.1	Aedini	PB2
SRR6489879	99.34	SRR6489879.1_PB1	SRR6489879.1	Aedini	PB1
SRR6489879	NA	SRR6489879.1_PA	SRR6489879.1	Aedini	PA
SRR6489879	99.81	SRR6489879.1_NP	SRR6489879.1	Aedini	NP
SRR6489879	99.15	SRR6489879.1_HP3	SRR6489879.1	Aedini	HP3
SRR6489879	82.45	SRR6489879.1_HP2	SRR6489879.1	Aedini	HP2
SRR6489879	99.57	SRR6489879.1_HP1	SRR6489879.1	Aedini	HP1
SRR6489879	99.12	SRR6489879.1_GP	SRR6489879.1	Aedini	GP
SRR908278	NA	SRR908278.3_PB2	SRR908278.3	Culicinae	PB2
SRR908278	NA	SRR908278.3_PB1	SRR908278.3	Culicinae	PB1
SRR908278	NA	SRR908278.3_PA	SRR908278.3	Culicinae	PA
SRR908278	37.04	SRR908278.3_NP	SRR908278.3	Culicinae	NP
SRR908278	NA	SRR908278.3_HP3	SRR908278.3	Culicinae	HP3
SRR908278	NA	SRR908278.3_HP2	SRR908278.3	Culicinae	HP2
SRR908278	NA	SRR908278.3_HP1	SRR908278.3	Culicinae	HP1
SRR908278	NA	SRR908278.3_GP	SRR908278.3	Culicinae	GP
SRR908278	NA	SRR908278.2_PB2	SRR908278.2	Culicinae	PB2
SRR908278	NA	SRR908278.2_PB1	SRR908278.2	Culicinae	PB1
SRR908278	NA	SRR908278.2_PA	SRR908278.2	Culicinae	PA
SRR908278	38.08	SRR908278.2_NP	SRR908278.2	Culicinae	NP
SRR908278	NA	SRR908278.2_HP3	SRR908278.2	Culicinae	HP3
SRR908278	NA	SRR908278.2_HP2	SRR908278.2	Culicinae	HP2
SRR908278	NA	SRR908278.2_HP1	SRR908278.2	Culicinae	HP1
SRR908278	NA	SRR908278.2_GP	SRR908278.2	Culicinae	GP
SRR908278	NA	SRR908278.1_PB2	SRR908278.1	Culicinae	PB2
SRR908278	NA	SRR908278.1_PB1	SRR908278.1	Culicinae	PB1
SRR908278	NA	SRR908278.1_PA	SRR908278.1	Culicinae	PA
SRR908278	39.68	SRR908278.1_NP	SRR908278.1	Culicinae	NP
SRR908278	NA	SRR908278.1_HP3	SRR908278.1	Culicinae	HP3
SRR908278	NA	SRR908278.1_HP2	SRR908278.1	Culicinae	HP2
SRR908278	NA	SRR908278.1_HP1	SRR908278.1	Culicinae	HP1
SRR908278	NA	SRR908278.1_GP	SRR908278.1	Culicinae	GP
